,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw
4940,-0.271,-0.182,0.963,2.99,1.953,0.427,0,0,0,0,16.188,-11.475
4960,-0.272,-0.178,0.962,4.699,2.99,0.671,0,0,0,0,16.221,-11.403
4980,-0.277,-0.171,0.96,2.99,1.892,0.366,0,0,0,0,16.259,-11.332
5000,-0.286,-0.17,0.963,2.624,1.403,-0.122,0,0,0,0,16.325,-11.173
5020,-0.278,-0.17,0.963,0.671,0.976,0.366,0,0,0,0,16.369,-11.085
5040,-0.286,-0.168,0.962,0.854,0.854,0,0,0,0,0,16.391,-11.046
5060,-0.286,-0.168,0.962,0.854,0.854,0,0,0,0,0,16.402,-11.03
5080,-0.283,-0.169,0.962,1.281,0.488,0.061,0,0,0,0,16.408,-11.002
5100,-0.285,-0.168,0.961,1.037,0.305,0.183,0,0,0,0,16.413,-10.969
5120,-0.285,-0.167,0.963,-0.488,0.305,0.183,0,0,0,0,16.424,-10.936
5140,-0.284,-0.167,0.962,-0.061,0.244,0.61,0,0,0,0,16.43,-10.925
5160,-0.284,-0.167,0.962,-0.061,0.244,0.61,0,0,0,0,16.43,-10.92
5180,-0.278,-0.165,0.961,-0.793,-0.183,0,0,0,0,0,16.43,-10.92
5200,-0.284,-0.168,0.964,-0.061,0.549,-0.305,0,0,0,0,16.424,-10.92
5220,-0.292,-0.17,0.958,0.183,0.61,-0.427,0,0,0,0,16.474,-10.887
5240,-0.292,-0.17,0.958,0.183,0.61,-0.427,0,0,0,0,16.484,-10.881
5260,-0.286,-0.165,0.962,-2.136,0.427,0.488,0,0,0,0,16.495,-10.892
5280,-0.286,-0.165,0.962,-2.136,0.427,0.488,0,0,0,0,16.501,-10.903
5300,-0.286,-0.165,0.962,-2.136,0.427,0.488,0,0,0,0,16.501,-10.909
5320,-0.28,-0.166,0.963,1.159,2.807,-0.244,0,0,0,0,16.545,-10.887
5340,-0.289,-0.167,0.964,-0.244,3.051,-0.061,0,0,0,0,16.594,-10.865
5360,-0.289,-0.169,0.963,-0.244,3.906,-0.244,0,0,0,0,16.655,-10.859
5380,-0.289,-0.169,0.963,-0.244,3.906,-0.244,0,0,0,0,16.693,-10.859
5400,-0.291,-0.179,0.963,-0.061,4.577,0.061,0,0,0,0,16.732,-10.859
5420,-0.291,-0.179,0.963,-0.061,4.577,0.061,0,0,0,0,16.754,-10.865
5440,-0.291,-0.179,0.963,-0.061,4.577,0.061,0,0,0,0,16.798,-10.865
5460,-0.296,-0.182,0.965,0.61,5.737,2.319,0,0,0,0,16.918,-10.843
5480,-0.319,-0.161,0.955,1.831,7.507,5.737,0,0,0,0,17.237,-10.733
5500,-0.285,-0.17,0.96,-1.281,5.432,3.906,0,0,0,0,17.517,-10.684
5520,-0.255,-0.176,0.958,-2.014,6.408,4.089,0,0,0,0,17.6,-10.7
5540,-0.255,-0.176,0.958,-2.014,6.408,4.089,0,0,0,0,17.622,-10.706
5560,-0.322,-0.161,0.955,7.69,7.934,0.732,0,0,0,0,18.088,-10.431
5580,-0.28,-0.157,0.958,6.591,6.408,-1.037,0,0,0,0,18.242,-10.255
5600,-0.334,-0.158,0.959,7.324,7.568,-1.281,0,0,0,0,18.347,-10.156
5620,-0.328,-0.144,0.955,8.056,7.263,-1.647,0,0,0,0,18.599,-9.893
5640,-0.308,-0.138,0.944,6.713,5.187,-3.54,0,0,0,0,18.682,-9.772
5660,-0.36,-0.136,0.956,8.239,3.784,-3.051,0,0,0,0,18.726,-9.689
5680,-0.312,-0.143,0.967,3.051,3.295,-2.136,0,0,0,0,18.781,-9.596
5700,-0.326,-0.128,0.957,1.342,4.272,-5.981,0,0,0,0,18.847,-9.552
5720,-0.347,-0.13,0.946,2.136,2.746,-9.094,0,0,0,0,18.907,-9.552
5740,-0.302,-0.155,0.962,6.713,3.54,-13.061,0,0,0,0,18.918,-9.541
5760,-0.347,-0.175,0.961,5.615,5.859,-13.183,0,0,0,0,18.94,-9.503
5780,-0.347,-0.175,0.961,5.615,5.859,-13.183,0,0,0,0,19,-9.497
5800,-0.313,-0.166,0.967,16.113,10.559,-9.033,0,0,0,0,19.121,-9.316
5820,-0.335,-0.125,0.942,12.329,9.704,-6.958,0,0,0,0,19.291,-9.102
5840,-0.344,-0.093,0.95,1.647,-2.746,5.798,0,0,0,0,19.352,-8.948
5860,-0.335,-0.114,0.958,-1.342,-4.028,13.732,0,0,0,0,19.308,-8.789
